id,name,location,latitude,longitude,notes
lincolns_inn,Lincoln's Inn,Holborn,,,"Inn of Court; ""Lincoln's Inn Court"" 4 Feb 1659/60"
chequers_inn,The Chequers,Charing Cross,,,"""the Exchequer at Charing Cross"" 2 Feb, ""the Chequers"" 5 and 11 Feb 1659/60"
calthrop_grocer_house,Mr Calthrop Grocer House,London Bridge,,,"Mr Calthrop, a grocer - distinct from Sir Lestrange Calthorpe of the Temple"
bridge_tavern,Bridge Tavern,London Bridge,,,
the_strand,The Strand,Westminster,,,"Landing place, ""over against Somerset House"", 2 Feb 1659/60"
mrs_johnson_house,Mrs Johnson House,The Strand,,,"Mrs Johnson, the Earl of Sandwich's sempstress"
st_jamess_park,St James's Park,Westminster,,,
guard_chamber_whitehall,Guard Chamber Whitehall,Whitehall Palace,,,
house_of_commons,House of Commons,Westminster Palace,,,"""the manner of the Houses sitting"" 3 Feb 1659/60"
priors_rhenish_wine_house,Priors Rhenish Wine House,Westminster,,,"""Priors, the Rhenish wine-house"" 3 Feb; ""a Rhenish wine house"" 8 Feb 1659/60"
palace_yard_westminster,Palace Yard Westminster,Westminster Palace,,,The entry does not say whether New or Old Palace Yard
charing_cross,Charing Cross,Westminster,,,
swan_house,Mr Swan House,,,,"Mr Swan, of the Exchequer"
stephens_chamber_temple,Mr Stephens Chamber,The Temple,,,"""the Counsellor at the Temple, Mr. Stephens"" 4 Feb; ""Mr. Stevens our lawyer"" 10 Feb 1659/60"
grays_inn,Gray's Inn,Holborn,,,Inn of Court
alehouse_unknown_4,Alehouse Unknown,Holborn,,,"""we met with an acquaintance of his in the walks, and went and drank"" 4 Feb 1659/60 - drinking house near Gray's Inn, unnamed"
lord_widdrington_house,Lord Widdrington House,,,,Mr Swan's master
scott_house,Scott House,,,,"Madam Scott and her husband, cf. 1 Feb 1659/60"
bull_head_tavern,Bull Head Tavern,,,,
the_temple,The Temple,Temple district,,,"Area-level node for ""the Temple"" where no chamber is named"
st_pauls_school,St Paul's School,St. Paul's Churchyard,,,Pepys's own school; his brother John was a pupil
captain_stone_lodgings,Captain Stone Lodgings,,,,"Captain Stone, concerned in Mr Downing's business"
temple_gardens,Temple Gardens,The Temple,,,
wheeler_house,Sir N Wheeler House,,,,Sir Nicholas Wheeler
phelps_house,Mr Phelps House,,,,
upper_bench_court,Upper Bench,Westminster Hall,,,"Court of Upper Bench, sitting in Westminster Hall"
